Date,Hour,Seasons,Rented Bike Count,Temperature(°C),Humidity(%),Wind speed (m/s),Rainfall(mm),Snowfall (cm),is_weekend,is_holiday,warehouse_id
2017-12-01,0,Winter,254,-5.2,37.0,2.2,0.0,0.0,0,0,2
2017-12-01,1,Winter,204,-5.5,38.0,0.8,0.0,0.0,0,0,1
2017-12-01,2,Winter,173,-6.0,39.0,1.0,0.0,0.0,0,0,2
2017-12-01,3,Winter,107,-6.2,40.0,0.9,0.0,0.0,0,0,3
2017-12-01,4,Winter,78,-6.0,36.0,2.3,0.0,0.0,0,0,2
2017-12-01,5,Winter,100,-6.4,37.0,1.5,0.0,0.0,0,0,2
2017-12-01,6,Winter,181,-6.6,35.0,1.3,0.0,0.0,0,0,3
2017-12-01,7,Winter,460,-7.4,38.0,0.9,0.0,0.0,0,0,3
2017-12-01,8,Winter,930,-7.6,37.0,1.1,0.0,0.0,0,0,2
2017-12-01,9,Winter,490,-6.5,27.0,0.5,0.0,0.0,0,0,3
2017-12-01,10,Winter,339,-3.5,24.0,1.2,0.0,0.0,0,0,3
2017-12-01,11,Winter,360,-0.5,21.0,1.3,0.0,0.0,0,0,1
2017-12-01,12,Winter,449,1.7,23.0,1.4,0.0,0.0,0,0,3
2017-12-01,13,Winter,451,2.4,25.0,1.6,0.0,0.0,0,0,2
2017-12-01,14,Winter,447,3.0,26.0,2.0,0.0,0.0,0,0,2
2017-12-01,15,Winter,463,2.1,36.0,3.2,0.0,0.0,0,0,1
2017-12-01,16,Winter,484,1.2,54.0,4.2,0.0,0.0,0,0,2
2017-12-01,17,Winter,555,0.8,58.0,1.6,0.0,0.0,0,0,2
2017-12-01,18,Winter,862,0.6,66.0,1.4,0.0,0.0,0,0,1
2017-12-01,19,Winter,600,0.0,77.0,1.7,0.0,0.0,0,0,1
2017-12-01,20,Winter,426,-0.3,79.0,1.5,0.0,0.0,0,0,3
2017-12-01,21,Winter,405,-0.8,81.0,0.8,0.0,0.0,0,0,1
2017-12-01,22,Winter,398,-0.9,83.0,1.5,0.0,0.0,0,0,2
2017-12-01,23,Winter,323,-1.3,84.0,1.0,0.0,0.0,0,0,3
2017-12-02,0,Winter,328,-1.8,87.0,1.1,0.0,0.0,1,0,2
2017-12-02,1,Winter,308,-2.2,86.0,0.6,0.0,0.0,1,0,3
2017-12-02,2,Winter,262,-2.9,86.0,1.5,0.0,0.0,1,0,3
