timestamp,event_type,event_data
0,demand_fulfilled,"{'warehouse_id': 1, 'quantity': 206, 'time': 0}"
0,kpi_update,"{'time': 0, 'total_inventory': 624, 'total_stockouts': 0, 'total_holding_cost': 0.5150684931506849, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 0.5150684931506849, 'service_level': 1.0, 'network_efficiency': 0.3301282051282051}"
1,demand_fulfilled,"{'warehouse_id': 3, 'quantity': 230, 'time': 1}"
2,stockout,"{'warehouse_id': 3, 'requested': 178, 'fulfilled': 50, 'time': 2}"
3,demand_fulfilled,"{'warehouse_id': 2, 'quantity': 119, 'time': 3}"
4,demand_fulfilled,"{'warehouse_id': 1, 'quantity': 62, 'time': 4}"
5,stockout,"{'warehouse_id': 3, 'requested': 61, 'fulfilled': 0, 'time': 5}"
6,kpi_update,"{'time': 6, 'total_inventory': 163, 'total_stockouts': 189, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.7792056074766355, 'network_efficiency': 5.251533742331288}"
6,stockout,"{'warehouse_id': 1, 'requested': 65, 'fulfilled': 32, 'time': 6}"
7,stockout,"{'warehouse_id': 3, 'requested': 81, 'fulfilled': 0, 'time': 7}"
8,stockout,"{'warehouse_id': 3, 'requested': 89, 'fulfilled': 0, 'time': 8}"
9,stockout,"{'warehouse_id': 3, 'requested': 121, 'fulfilled': 0, 'time': 9}"
10,stockout,"{'warehouse_id': 1, 'requested': 139, 'fulfilled': 0, 'time': 10}"
11,stockout,"{'warehouse_id': 2, 'requested': 169, 'fulfilled': 131, 'time': 11}"
12,kpi_update,"{'time': 12, 'total_inventory': 0, 'total_stockouts': 690, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.5460526315789473, 'network_efficiency': 1520.0}"
12,stockout,"{'warehouse_id': 3, 'requested': 225, 'fulfilled': 0, 'time': 12}"
13,stockout,"{'warehouse_id': 1, 'requested': 248, 'fulfilled': 0, 'time': 13}"
14,stockout,"{'warehouse_id': 1, 'requested': 298, 'fulfilled': 0, 'time': 14}"
15,stockout,"{'warehouse_id': 3, 'requested': 344, 'fulfilled': 0, 'time': 15}"
16,stockout,"{'warehouse_id': 1, 'requested': 310, 'fulfilled': 0, 'time': 16}"
17,stockout,"{'warehouse_id': 3, 'requested': 271, 'fulfilled': 0, 'time': 17}"
18,kpi_update,"{'time': 18, 'total_inventory': 0, 'total_stockouts': 2386, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.2580845771144279, 'network_efficiency': 3216.0}"
18,stockout,"{'warehouse_id': 1, 'requested': 218, 'fulfilled': 0, 'time': 18}"
19,stockout,"{'warehouse_id': 3, 'requested': 125, 'fulfilled': 0, 'time': 19}"
20,stockout,"{'warehouse_id': 3, 'requested': 206, 'fulfilled': 0, 'time': 20}"
21,stockout,"{'warehouse_id': 1, 'requested': 203, 'fulfilled': 0, 'time': 21}"
22,stockout,"{'warehouse_id': 1, 'requested': 168, 'fulfilled': 0, 'time': 22}"
23,stockout,"{'warehouse_id': 3, 'requested': 154, 'fulfilled': 0, 'time': 23}"
24,kpi_update,"{'time': 24, 'total_inventory': 0, 'total_stockouts': 3460, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.19347319347319347, 'network_efficiency': 4290.0}"
24,stockout,"{'warehouse_id': 3, 'requested': 148, 'fulfilled': 0, 'time': 24}"
25,stockout,"{'warehouse_id': 1, 'requested': 108, 'fulfilled': 0, 'time': 25}"
26,stockout,"{'warehouse_id': 2, 'requested': 69, 'fulfilled': 0, 'time': 26}"
27,stockout,"{'warehouse_id': 1, 'requested': 41, 'fulfilled': 0, 'time': 27}"
28,stockout,"{'warehouse_id': 2, 'requested': 31, 'fulfilled': 0, 'time': 28}"
29,stockout,"{'warehouse_id': 1, 'requested': 58, 'fulfilled': 0, 'time': 29}"
30,kpi_update,"{'time': 30, 'total_inventory': 0, 'total_stockouts': 3915, 'total_holding_cost': 1.7676712328767126, 'total_order_cost': 0.0, 'total_transport_cost': 0.0, 'total_cost': 1.7676712328767126, 'service_level': 0.17492096944151736, 'network_efficiency': 4745.0}"
30,stockout,"{'warehouse_id': 3, 'requested': 139, 'fulfilled': 0, 'time': 30}"
31,stockout,"{'warehouse_id': 2, 'requested': 344, 'fulfilled': 0, 'time': 31}"
32,stockout,"{'warehouse_id': 1, 'requested': 655, 'fulfilled': 0, 'time': 32}"
